"","res","sil"
"1","res.0.1_0",0.316572343401721
"2","res.0.1_1",0.218828826783782
"3","res.0.1_2",0.0118048467831382
"4","res.0.1_3",0.246195236701148
"5","res.0.2_0",0.316926313212249
"6","res.0.2_1",0.312780326233144
"7","res.0.2_2",0.0108812708735512
"8","res.0.2_3",0.24605364636256
"9","res.0.2_4",0.0341427696738222
"10","res.0.2_5",0.233957515699589
"11","res.0.3_0",0.316776156155349
"12","res.0.3_1",0.235371592702801
"13","res.0.3_2",0.010309217832931
"14","res.0.3_3",0.246016611949539
"15","res.0.3_4",0.228805670477228
"16","res.0.3_5",0.233629260136341
"17","res.0.3_6",0.40295332359578
"18","res.0.4_0",0.14319065458165
"19","res.0.4_1",0.231615476679265
"20","res.0.4_2",0.0102747222023055
"21","res.0.4_3",0.220731556963811
"22","res.0.4_4",0.0421460791419257
"23","res.0.4_5",0.228543812843835
"24","res.0.4_6",0.106631755415275
"25","res.0.4_7",0.233418493440216
"26","res.0.4_8",0.401310576618079
"27","res.0.5_0",0.143098336762259
"28","res.0.5_1",0.0102281103246433
"29","res.0.5_2",0.231542418587136
"30","res.0.5_3",0.219399456233659
"31","res.0.5_4",0.0398222744718679
"32","res.0.5_5",0.228530274341207
"33","res.0.5_6",0.107339222227012
"34","res.0.5_7",0.233419354245905
"35","res.0.5_8",0.401386209828551
